label,tp,type,hypermut
CAP257_3160_054WPI_ENV_C2C3_NGS_103_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_104_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_105_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_106_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_107_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_108_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_109_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_110_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_111_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_113_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_114_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_115_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_116_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_117_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_118_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_119_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_120_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_121_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_122_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_123_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_124_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_125_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_126_0_003_1,054WPI,NGS,N
CAP257_3160_054WPI_ENV_C2C3_NGS_127_0_003_1,054WPI,NGS,N
